invoice,customer_id,country,invoice_date,invoice_date_only,invoice_year,invoice_month,invoice_yearmonth,day_of_week,line_item_count,distinct_products,total_quantity,order_revenue
489564,13526,United Kingdom,2009-12-01 13:13:00,2009-12-01,2009,12,2009-12,Tuesday,14,11,326,322.9
489566,17742,United Kingdom,2009-12-01 13:16:00,2009-12-01,2009,12,2009-12,Tuesday,8,8,35,218.55
489567,15326,United Kingdom,2009-12-01 13:19:00,2009-12-01,2009,12,2009-12,Tuesday,20,20,150,307.8
489569,14478,United Kingdom,2009-12-01 13:20:00,2009-12-01,2009,12,2009-12,Tuesday,18,18,312,282.28
489571,15967,United Kingdom,2009-12-01 13:29:00,2009-12-01,2009,12,2009-12,Tuesday,30,30,50,156.71
489572,17611,United Kingdom,2009-12-01 13:29:00,2009-12-01,2009,12,2009-12,Tuesday,83,83,273,507.49
489573,15051,United Kingdom,2009-12-01 13:29:00,2009-12-01,2009,12,2009-12,Tuesday,32,32,306,580.02
489574,13097,United Kingdom,2009-12-01 13:31:00,2009-12-01,2009,12,2009-12,Tuesday,64,63,309,544.73
489575,13590,United Kingdom,2009-12-01 13:37:00,2009-12-01,2009,12,2009-12,Tuesday,22,22,300,367.28
489576,15984,United Kingdom,2009-12-01 13:38:00,2009-12-01,2009,12,2009-12,Tuesday,17,17,178,319.66
489579,16887,United Kingdom,2009-12-01 13:41:00,2009-12-01,2009,12,2009-12,Tuesday,34,34,177,219.82
489580,12921,United Kingdom,2009-12-01 13:43:00,2009-12-01,2009,12,2009-12,Tuesday,8,8,276,261.0
489581,15945,United Kingdom,2009-12-01 13:47:00,2009-12-01,2009,12,2009-12,Tuesday,10,10,137,124.83
489582,14543,United Kingdom,2009-12-01 13:47:00,2009-12-01,2009,12,2009-12,Tuesday,9,9,125,293.95
489584,18037,United Kingdom,2009-12-01 13:48:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,1,21.95
489585,15662,United Kingdom,2009-12-01 13:49:00,2009-12-01,2009,12,2009-12,Tuesday,4,4,67,105.85
489586,15380,United Kingdom,2009-12-01 13:50:00,2009-12-01,2009,12,2009-12,Tuesday,6,6,98,263.42
489590,13110,United Kingdom,2009-12-01 14:14:00,2009-12-01,2009,12,2009-12,Tuesday,27,27,87,362.78
489593,12836,United Kingdom,2009-12-01 14:19:00,2009-12-01,2009,12,2009-12,Tuesday,29,29,93,407.97
489594,15005,United Kingdom,2009-12-01 14:19:00,2009-12-01,2009,12,2009-12,Tuesday,50,46,180,319.38
489598,16620,United Kingdom,2009-12-01 14:35:00,2009-12-01,2009,12,2009-12,Tuesday,50,50,575,822.37
489599,12758,Portugal,2009-12-01 14:40:00,2009-12-01,2009,12,2009-12,Tuesday,79,79,1403,2454.68
489606,17961,United Kingdom,2009-12-01 14:48:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,1,2.1
489611,15601,United Kingdom,2009-12-01 14:53:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,1,2.95
489613,13585,United Kingdom,2009-12-01 14:56:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,1,12.75
489617,13442,United Kingdom,2009-12-01 14:59:00,2009-12-01,2009,12,2009-12,Tuesday,16,16,42,198.0
489634,13381,United Kingdom,2009-12-01 15:19:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,12,17.4
489635,16763,United Kingdom,2009-12-01 15:26:00,2009-12-01,2009,12,2009-12,Tuesday,21,21,173,352.85
489637,17243,United Kingdom,2009-12-01 15:36:00,2009-12-01,2009,12,2009-12,Tuesday,20,20,157,535.9
489639,14865,United Kingdom,2009-12-01 16:05:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,48,31.2
489640,17345,United Kingdom,2009-12-01 16:17:00,2009-12-01,2009,12,2009-12,Tuesday,27,26,600,329.91
489641,13819,United Kingdom,2009-12-01 16:18:00,2009-12-01,2009,12,2009-12,Tuesday,30,30,462,622.1
489644,15808,United Kingdom,2009-12-01 16:30:00,2009-12-01,2009,12,2009-12,Tuesday,25,24,297,857.54
489645,17191,United Kingdom,2009-12-01 16:34:00,2009-12-01,2009,12,2009-12,Tuesday,32,32,97,261.74
489650,13748,United Kingdom,2009-12-01 16:44:00,2009-12-01,2009,12,2009-12,Tuesday,7,7,90,173.1
489652,15265,United Kingdom,2009-12-01 17:08:00,2009-12-01,2009,12,2009-12,Tuesday,17,17,146,294.14
489654,15750,United Kingdom,2009-12-01 17:19:00,2009-12-01,2009,12,2009-12,Tuesday,30,30,115,222.12
489656,17428,United Kingdom,2009-12-01 17:28:00,2009-12-01,2009,12,2009-12,Tuesday,22,22,401,1237.3
489657,17428,United Kingdom,2009-12-01 17:28:00,2009-12-01,2009,12,2009-12,Tuesday,3,3,32,55.2
489658,15485,United Kingdom,2009-12-01 17:31:00,2009-12-01,2009,12,2009-12,Tuesday,21,21,249,828.09
489661,17246,United Kingdom,2009-12-01 17:45:00,2009-12-01,2009,12,2009-12,Tuesday,4,4,34,23.48
489662,15485,United Kingdom,2009-12-01 17:50:00,2009-12-01,2009,12,2009-12,Tuesday,1,1,25,73.75
489664,14061,United Kingdom,2009-12-01 18:03:00,2009-12-01,2009,12,2009-12,Tuesday,11,11,57,374.43
489665,14108,United Kingdom,2009-12-01 18:07:00,2009-12-01,2009,12,2009-12,Tuesday,10,10,118,252.3
489666,13648,United Kingdom,2009-12-01 18:13:00,2009-12-01,2009,12,2009-12,Tuesday,15,15,203,263.09
489667,16563,United Kingdom,2009-12-01 18:35:00,2009-12-01,2009,12,2009-12,Tuesday,10,10,221,538.46
489668,16701,United Kingdom,2009-12-01 19:19:00,2009-12-01,2009,12,2009-12,Tuesday,8,8,198,378.12
489669,12842,United Kingdom,2009-12-02 08:15:00,2009-12-02,2009,12,2009-12,Wednesday,3,3,168,397.2
489670,14302,United Kingdom,2009-12-02 08:16:00,2009-12-02,2009,12,2009-12,Wednesday,2,2,28,114.6
489671,14135,United Kingdom,2009-12-02 08:58:00,2009-12-02,2009,12,2009-12,Wednesday,8,8,966,740.3
489672,14831,United Kingdom,2009-12-02 09:21:00,2009-12-02,2009,12,2009-12,Wednesday,32,32,421,772.65
489673,14831,United Kingdom,2009-12-02 09:23:00,2009-12-02,2009,12,2009-12,Wednesday,4,4,34,61.1
489674,15602,United Kingdom,2009-12-02 09:35:00,2009-12-02,2009,12,2009-12,Wednesday,17,17,266,261.3
489675,13777,United Kingdom,2009-12-02 09:47:00,2009-12-02,2009,12,2009-12,Wednesday,22,22,1930,4939.22
489676,13777,United Kingdom,2009-12-02 09:49:00,2009-12-02,2009,12,2009-12,Wednesday,5,5,840,1210.8
489677,14000,United Kingdom,2009-12-02 09:50:00,2009-12-02,2009,12,2009-12,Wednesday,2,2,48,192.0
489678,16823,United Kingdom,2009-12-02 09:57:00,2009-12-02,2009,12,2009-12,Wednesday,20,20,113,189.3
489679,16163,United Kingdom,2009-12-02 10:00:00,2009-12-02,2009,12,2009-12,Wednesday,42,42,280,795.98
489680,17193,United Kingdom,2009-12-02 10:02:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,36,45.0
489681,17998,United Kingdom,2009-12-02 10:02:00,2009-12-02,2009,12,2009-12,Wednesday,11,11,183,89.59
489682,15759,United Kingdom,2009-12-02 10:08:00,2009-12-02,2009,12,2009-12,Wednesday,4,4,303,125.73
489683,16131,United Kingdom,2009-12-02 10:09:00,2009-12-02,2009,12,2009-12,Wednesday,46,46,721,1317.97
489684,14560,United Kingdom,2009-12-02 10:15:00,2009-12-02,2009,12,2009-12,Wednesday,9,9,116,266.6
489687,17087,United Kingdom,2009-12-02 10:41:00,2009-12-02,2009,12,2009-12,Wednesday,12,12,113,221.53
489688,14894,United Kingdom,2009-12-02 10:42:00,2009-12-02,2009,12,2009-12,Wednesday,3,3,54,299.7
489695,16202,United Kingdom,2009-12-02 10:48:00,2009-12-02,2009,12,2009-12,Wednesday,15,15,121,306.95
489699,16700,United Kingdom,2009-12-02 10:51:00,2009-12-02,2009,12,2009-12,Wednesday,25,25,238,401.7
489702,17511,United Kingdom,2009-12-02 10:52:00,2009-12-02,2009,12,2009-12,Wednesday,30,30,2020,3108.64
489705,16700,United Kingdom,2009-12-02 10:52:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,4,17.0
489723,14299,United Kingdom,2009-12-02 10:58:00,2009-12-02,2009,12,2009-12,Wednesday,26,26,1339,2052.12
489725,17949,United Kingdom,2009-12-02 11:07:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,300,216.0
489726,17949,United Kingdom,2009-12-02 11:07:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,200,750.0
489727,17949,United Kingdom,2009-12-02 11:09:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,450,900.0
489728,14799,United Kingdom,2009-12-02 11:18:00,2009-12-02,2009,12,2009-12,Wednesday,10,10,349,180.45
489733,15311,United Kingdom,2009-12-02 11:20:00,2009-12-02,2009,12,2009-12,Wednesday,2,2,48,168.0
489743,16550,United Kingdom,2009-12-02 11:24:00,2009-12-02,2009,12,2009-12,Wednesday,33,33,320,538.77
489748,12980,United Kingdom,2009-12-02 11:26:00,2009-12-02,2009,12,2009-12,Wednesday,3,3,84,754.2
489764,14425,United Kingdom,2009-12-02 11:31:00,2009-12-02,2009,12,2009-12,Wednesday,14,14,82,223.1
489765,15353,United Kingdom,2009-12-02 11:33:00,2009-12-02,2009,12,2009-12,Wednesday,38,38,88,271.74
489766,17818,United Kingdom,2009-12-02 11:34:00,2009-12-02,2009,12,2009-12,Wednesday,42,42,86,124.78
489780,13654,United Kingdom,2009-12-02 11:43:00,2009-12-02,2009,12,2009-12,Wednesday,8,8,90,159.98
489782,17189,United Kingdom,2009-12-02 11:45:00,2009-12-02,2009,12,2009-12,Wednesday,21,21,147,228.36
489783,13269,United Kingdom,2009-12-02 11:47:00,2009-12-02,2009,12,2009-12,Wednesday,7,7,152,162.04
489784,13269,United Kingdom,2009-12-02 11:48:00,2009-12-02,2009,12,2009-12,Wednesday,4,4,48,40.8
489785,14653,United Kingdom,2009-12-02 11:51:00,2009-12-02,2009,12,2009-12,Wednesday,19,19,248,333.09
489786,17019,United Kingdom,2009-12-02 11:52:00,2009-12-02,2009,12,2009-12,Wednesday,42,39,197,212.66
489787,15542,United Kingdom,2009-12-02 11:53:00,2009-12-02,2009,12,2009-12,Wednesday,65,63,116,293.19
489788,13564,United Kingdom,2009-12-02 11:55:00,2009-12-02,2009,12,2009-12,Wednesday,17,17,38,119.16
489789,15833,United Kingdom,2009-12-02 11:59:00,2009-12-02,2009,12,2009-12,Wednesday,5,5,24,80.4
489790,16467,United Kingdom,2009-12-02 11:59:00,2009-12-02,2009,12,2009-12,Wednesday,2,2,88,131.12
489791,15542,United Kingdom,2009-12-02 12:06:00,2009-12-02,2009,12,2009-12,Wednesday,62,62,87,216.59
489792,14527,United Kingdom,2009-12-02 12:06:00,2009-12-02,2009,12,2009-12,Wednesday,58,58,165,923.79
489793,17476,United Kingdom,2009-12-02 12:09:00,2009-12-02,2009,12,2009-12,Wednesday,16,16,124,260.36
489794,15287,United Kingdom,2009-12-02 12:13:00,2009-12-02,2009,12,2009-12,Wednesday,4,4,55,58.2
489795,14440,United Kingdom,2009-12-02 12:13:00,2009-12-02,2009,12,2009-12,Wednesday,13,13,287,935.01
489796,15680,United Kingdom,2009-12-02 12:15:00,2009-12-02,2009,12,2009-12,Wednesday,19,19,268,311.5
489797,15581,United Kingdom,2009-12-02 12:19:00,2009-12-02,2009,12,2009-12,Wednesday,25,25,141,196.88
489798,13740,United Kingdom,2009-12-02 12:22:00,2009-12-02,2009,12,2009-12,Wednesday,19,19,93,296.69
489800,17768,United Kingdom,2009-12-02 12:26:00,2009-12-02,2009,12,2009-12,Wednesday,31,31,502,382.57
489801,12948,United Kingdom,2009-12-02 12:28:00,2009-12-02,2009,12,2009-12,Wednesday,6,6,144,128.48
489802,15581,United Kingdom,2009-12-02 12:32:00,2009-12-02,2009,12,2009-12,Wednesday,45,44,156,174.52
489804,14667,United Kingdom,2009-12-02 12:38:00,2009-12-02,2009,12,2009-12,Wednesday,16,15,185,251.17
489805,17377,United Kingdom,2009-12-02 12:39:00,2009-12-02,2009,12,2009-12,Wednesday,46,46,227,454.35
489807,15581,United Kingdom,2009-12-02 12:43:00,2009-12-02,2009,12,2009-12,Wednesday,28,27,241,180.13
489808,14467,United Kingdom,2009-12-02 12:44:00,2009-12-02,2009,12,2009-12,Wednesday,17,17,82,109.84
489809,13457,United Kingdom,2009-12-02 12:46:00,2009-12-02,2009,12,2009-12,Wednesday,6,6,68,112.5
489810,18108,United Kingdom,2009-12-02 12:47:00,2009-12-02,2009,12,2009-12,Wednesday,26,26,165,493.25
489811,16210,United Kingdom,2009-12-02 12:54:00,2009-12-02,2009,12,2009-12,Wednesday,9,9,515,634.29
489812,17377,United Kingdom,2009-12-02 13:00:00,2009-12-02,2009,12,2009-12,Wednesday,25,25,85,597.69
489814,14669,United Kingdom,2009-12-02 13:06:00,2009-12-02,2009,12,2009-12,Wednesday,86,84,503,811.53
489815,17909,United Kingdom,2009-12-02 13:10:00,2009-12-02,2009,12,2009-12,Wednesday,8,8,35,110.05
489816,16086,United Kingdom,2009-12-02 13:20:00,2009-12-02,2009,12,2009-12,Wednesday,27,27,258,284.55
489817,16711,United Kingdom,2009-12-02 13:22:00,2009-12-02,2009,12,2009-12,Wednesday,3,3,132,340.2
489818,16233,United Kingdom,2009-12-02 13:23:00,2009-12-02,2009,12,2009-12,Wednesday,14,14,102,294.3
489819,14739,United Kingdom,2009-12-02 13:23:00,2009-12-02,2009,12,2009-12,Wednesday,13,13,465,618.43
489822,14204,United Kingdom,2009-12-02 13:26:00,2009-12-02,2009,12,2009-12,Wednesday,54,54,103,371.27
489823,17606,United Kingdom,2009-12-02 13:32:00,2009-12-02,2009,12,2009-12,Wednesday,6,6,42,87.3
489824,16797,United Kingdom,2009-12-02 13:33:00,2009-12-02,2009,12,2009-12,Wednesday,44,44,127,176.88
489825,16126,United Kingdom,2009-12-02 13:34:00,2009-12-02,2009,12,2009-12,Wednesday,10,10,94,174.1
489826,17867,United Kingdom,2009-12-02 13:39:00,2009-12-02,2009,12,2009-12,Wednesday,10,10,17,85.95
489827,17412,United Kingdom,2009-12-02 13:51:00,2009-12-02,2009,12,2009-12,Wednesday,23,23,382,445.7
489829,16525,United Kingdom,2009-12-02 13:53:00,2009-12-02,2009,12,2009-12,Wednesday,8,8,237,472.47
489830,13623,United Kingdom,2009-12-02 13:57:00,2009-12-02,2009,12,2009-12,Wednesday,67,62,240,628.14
489831,12435,Denmark,2009-12-02 13:58:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,480,1008.0
489832,14549,United Kingdom,2009-12-02 14:06:00,2009-12-02,2009,12,2009-12,Wednesday,54,54,121,313.27
489833,14980,United Kingdom,2009-12-02 14:09:00,2009-12-02,2009,12,2009-12,Wednesday,24,24,79,150.68
489834,14106,United Kingdom,2009-12-02 14:09:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,24,214.8
489835,15061,United Kingdom,2009-12-02 14:15:00,2009-12-02,2009,12,2009-12,Wednesday,2,2,280,714.0
489837,14396,United Kingdom,2009-12-02 14:21:00,2009-12-02,2009,12,2009-12,Wednesday,46,43,268,507.47
489840,14122,United Kingdom,2009-12-02 14:22:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,6,89.7
489855,16987,United Kingdom,2009-12-02 14:34:00,2009-12-02,2009,12,2009-12,Wednesday,29,28,56,157.91
489862,17809,United Kingdom,2009-12-02 14:52:00,2009-12-02,2009,12,2009-12,Wednesday,4,4,150,734.7
489863,15917,United Kingdom,2009-12-02 14:55:00,2009-12-02,2009,12,2009-12,Wednesday,18,18,21,66.82
489864,14987,United Kingdom,2009-12-02 14:56:00,2009-12-02,2009,12,2009-12,Wednesday,3,3,79,206.85
489865,14080,United Kingdom,2009-12-02 15:01:00,2009-12-02,2009,12,2009-12,Wednesday,18,18,53,234.87
489866,16200,United Kingdom,2009-12-02 15:04:00,2009-12-02,2009,12,2009-12,Wednesday,115,109,577,987.73
489868,15794,United Kingdom,2009-12-02 15:10:00,2009-12-02,2009,12,2009-12,Wednesday,14,14,248,675.0
489869,16200,United Kingdom,2009-12-02 15:15:00,2009-12-02,2009,12,2009-12,Wednesday,17,17,27,39.98
489870,15523,United Kingdom,2009-12-02 15:16:00,2009-12-02,2009,12,2009-12,Wednesday,3,3,118,162.1
489871,15523,United Kingdom,2009-12-02 15:17:00,2009-12-02,2009,12,2009-12,Wednesday,5,5,274,735.7
489872,15615,United Kingdom,2009-12-02 15:28:00,2009-12-02,2009,12,2009-12,Wednesday,22,22,320,632.9
489873,15615,United Kingdom,2009-12-02 15:29:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,12,10.2
489874,18001,United Kingdom,2009-12-02 15:38:00,2009-12-02,2009,12,2009-12,Wednesday,12,12,144,176.6
489875,17841,United Kingdom,2009-12-02 15:41:00,2009-12-02,2009,12,2009-12,Wednesday,93,92,217,525.71
489876,15917,United Kingdom,2009-12-02 15:44:00,2009-12-02,2009,12,2009-12,Wednesday,18,18,22,39.85
489877,13089,United Kingdom,2009-12-02 15:44:00,2009-12-02,2009,12,2009-12,Wednesday,4,4,162,368.1
489878,15989,United Kingdom,2009-12-02 15:51:00,2009-12-02,2009,12,2009-12,Wednesday,37,36,55,140.16
489879,17660,United Kingdom,2009-12-02 16:02:00,2009-12-02,2009,12,2009-12,Wednesday,44,42,138,163.47
489880,13313,United Kingdom,2009-12-02 16:18:00,2009-12-02,2009,12,2009-12,Wednesday,22,22,552,380.28
489883,12437,France,2009-12-02 16:24:00,2009-12-02,2009,12,2009-12,Wednesday,26,26,260,524.28
489884,13313,United Kingdom,2009-12-02 16:24:00,2009-12-02,2009,12,2009-12,Wednesday,1,1,19,3.61
489888,14841,United Kingdom,2009-12-02 16:49:00,2009-12-02,2009,12,2009-12,Wednesday,26,26,660,597.4
489889,14646,Netherlands,2009-12-02 16:52:00,2009-12-02,2009,12,2009-12,Wednesday,20,20,3200,4734.24
489890,14646,Netherlands,2009-12-02 16:53:00,2009-12-02,2009,12,2009-12,Wednesday,3,3,592,976.8
489891,15482,United Kingdom,2009-12-02 16:59:00,2009-12-02,2009,12,2009-12,Wednesday,6,6,144,181.08
489893,16156,United Kingdom,2009-12-02 17:06:00,2009-12-02,2009,12,2009-12,Wednesday,9,9,98,300.1
489894,17716,United Kingdom,2009-12-02 17:18:00,2009-12-02,2009,12,2009-12,Wednesday,27,27,396,520.2
489895,12779,Poland,2009-12-03 07:25:00,2009-12-03,2009,12,2009-12,Thursday,22,22,266,371.82
489896,13611,United Kingdom,2009-12-03 07:57:00,2009-12-03,2009,12,2009-12,Thursday,20,20,227,337.93
489897,15255,United Kingdom,2009-12-03 09:10:00,2009-12-03,2009,12,2009-12,Thursday,13,13,176,260.44
489900,14771,United Kingdom,2009-12-03 09:44:00,2009-12-03,2009,12,2009-12,Thursday,19,19,253,287.37
489902,14838,United Kingdom,2009-12-03 09:52:00,2009-12-03,2009,12,2009-12,Thursday,4,4,18,119.1
489904,13979,United Kingdom,2009-12-03 10:02:00,2009-12-03,2009,12,2009-12,Thursday,13,13,150,203.78
489905,13800,United Kingdom,2009-12-03 10:03:00,2009-12-03,2009,12,2009-12,Thursday,19,19,242,478.7
489906,14483,United Kingdom,2009-12-03 10:16:00,2009-12-03,2009,12,2009-12,Thursday,4,4,96,120.0
489907,14915,United Kingdom,2009-12-03 10:17:00,2009-12-03,2009,12,2009-12,Thursday,11,11,104,202.06
489908,16301,United Kingdom,2009-12-03 10:20:00,2009-12-03,2009,12,2009-12,Thursday,6,6,41,107.33
489909,13753,United Kingdom,2009-12-03 10:20:00,2009-12-03,2009,12,2009-12,Thursday,16,16,428,642.2
489910,15482,United Kingdom,2009-12-03 10:23:00,2009-12-03,2009,12,2009-12,Thursday,1,1,288,144.0
489912,13931,United Kingdom,2009-12-03 10:26:00,2009-12-03,2009,12,2009-12,Thursday,58,58,578,1146.1
489913,13931,United Kingdom,2009-12-03 10:28:00,2009-12-03,2009,12,2009-12,Thursday,3,3,16,69.6
489914,12921,United Kingdom,2009-12-03 10:28:00,2009-12-03,2009,12,2009-12,Thursday,29,29,508,993.0
489915,17035,United Kingdom,2009-12-03 10:37:00,2009-12-03,2009,12,2009-12,Thursday,2,2,36,54.6
489916,15194,United Kingdom,2009-12-03 10:37:00,2009-12-03,2009,12,2009-12,Thursday,9,9,212,336.0
489932,14347,United Kingdom,2009-12-03 10:49:00,2009-12-03,2009,12,2009-12,Thursday,6,6,48,82.6
489935,12934,United Kingdom,2009-12-03 10:51:00,2009-12-03,2009,12,2009-12,Thursday,2,2,31,181.65
489994,15291,United Kingdom,2009-12-03 11:09:00,2009-12-03,2009,12,2009-12,Thursday,4,4,142,430.9
489996,17209,United Kingdom,2009-12-03 11:10:00,2009-12-03,2009,12,2009-12,Thursday,5,5,514,320.4
489998,15658,United Kingdom,2009-12-03 11:19:00,2009-12-03,2009,12,2009-12,Thursday,17,17,93,321.65
489999,17314,United Kingdom,2009-12-03 11:25:00,2009-12-03,2009,12,2009-12,Thursday,7,7,72,154.2
490000,17155,United Kingdom,2009-12-03 11:34:00,2009-12-03,2009,12,2009-12,Thursday,12,12,89,143.06
490001,15965,United Kingdom,2009-12-03 11:45:00,2009-12-03,2009,12,2009-12,Thursday,2,2,94,169.5
490002,17322,United Kingdom,2009-12-03 11:46:00,2009-12-03,2009,12,2009-12,Thursday,28,28,115,114.55
490003,16159,United Kingdom,2009-12-03 11:51:00,2009-12-03,2009,12,2009-12,Thursday,12,12,163,317.55
490004,14051,United Kingdom,2009-12-03 11:53:00,2009-12-03,2009,12,2009-12,Thursday,9,9,224,912.56
490005,13993,United Kingdom,2009-12-03 11:57:00,2009-12-03,2009,12,2009-12,Thursday,25,25,203,556.75
