customer_id,country,first_purchase_date,last_purchase_date,total_orders,active_months,total_products,total_quantity,lifetime_revenue,avg_order_value,recency_days
12370,Austria,2010-02-09,2010-12-17,4,3,38,294,691.82,172.96,357
12370,Cyprus,2010-12-14,2011-10-19,3,3,135,2301,3264.74,1088.25,51
12371,Switzerland,2010-03-04,2011-10-11,4,3,133,1418,3347.38,836.84,59
12372,Denmark,2011-02-16,2011-09-29,3,3,33,788,1196.04,398.68,71
12373,Austria,2010-02-04,2011-02-01,3,3,35,511,927.65,309.22,311
12374,Austria,2010-04-30,2011-11-14,3,3,78,1354,2669.22,889.74,25
12375,Finland,2011-09-02,2011-11-29,2,2,13,176,377.5,188.75,10
12376,Switzerland,2010-10-18,2010-11-15,2,2,10,237,383.15,191.58,389
12377,Switzerland,2010-04-29,2011-01-28,4,4,128,2101,3266.32,816.58,315
12378,Switzerland,2010-05-26,2011-08-02,2,2,281,3316,5416.32,2708.16,129
12379,Belgium,2010-06-23,2011-09-19,4,4,57,805,1470.22,367.56,81
12380,Belgium,2010-02-15,2011-11-18,8,7,154,3314,7210.65,901.33,21
12381,Norway,2011-08-12,2011-12-05,3,3,69,797,1474.81,491.6,4
12383,Belgium,2010-12-22,2011-06-08,5,5,83,1518,1628.56,325.71,184
12384,Switzerland,2011-08-10,2011-11-11,2,2,25,122,425.27,212.64,28
12385,Belgium,2010-11-25,2010-11-25,1,1,64,594,1668.4,1668.4,379
12386,Australia,2010-12-08,2011-01-06,2,2,10,568,660.8,330.4,337
12387,Australia,2010-10-20,2010-10-20,1,1,9,134,143.94,143.94,415
12388,Australia,2010-05-06,2011-11-24,8,8,83,2001,3901.11,487.64,15
12389,Australia,2010-02-22,2010-11-02,3,3,41,614,1433.33,477.78,402
12390,Belgium,2011-09-21,2011-09-21,1,1,31,350,504.84,504.84,79
12391,Cyprus,2010-02-15,2011-11-18,6,4,241,1204,2724.84,454.14,21
12392,Australia,2010-04-27,2010-04-27,1,1,7,73,234.75,234.75,591
12393,Australia,2010-10-07,2011-09-28,6,5,63,1311,2399.45,399.91,72
12394,Belgium,2011-05-06,2011-05-06,1,1,20,180,351.08,351.08,217
12394,Denmark,2011-10-07,2011-10-07,1,1,5,628,729.4,729.4,63
12395,Belgium,2010-04-16,2011-11-20,15,11,144,3701,4551.27,303.42,19
12396,RSA,2010-02-03,2010-02-03,1,1,65,591,931.43,931.43,674
12397,Belgium,2011-07-27,2011-11-04,2,2,109,1250,2214.9,1107.45,35
12398,Switzerland,2011-10-25,2011-10-25,1,1,84,1389,1435.66,1435.66,45
12399,Belgium,2010-03-05,2011-08-12,7,7,66,2190,1842.3,263.19,119
12400,Australia,2010-10-21,2010-10-21,1,1,11,91,205.25,205.25,414
12401,Belgium,2011-02-09,2011-02-09,1,1,4,10,69.3,69.3,303
12402,Belgium,2010-02-07,2011-01-20,6,6,42,576,1136.9,189.48,323
12403,Denmark,2010-07-06,2011-10-21,2,2,4,256,947.36,473.68,49
12405,Finland,2011-07-14,2011-07-14,1,1,53,849,1390.39,1390.39,148
12406,Denmark,2010-01-11,2011-11-17,5,5,114,3416,6390.36,1278.07,22
12407,Belgium,2011-03-20,2011-10-21,5,4,56,1403,1507.12,301.42,49
12408,Belgium,2010-07-29,2011-11-07,8,7,103,2200,3905.77,488.22,32
12409,Switzerland,2010-05-23,2011-09-22,7,6,177,13143,23419.29,3345.61,78
12410,Switzerland,2010-07-25,2011-02-04,3,2,35,335,773.71,257.9,308
12411,Australia,2010-10-26,2010-10-26,1,1,22,138,346.9,346.9,409
12412,Denmark,2010-06-18,2011-09-26,6,6,81,1986,2404.93,400.82,74
12413,France,2011-01-06,2011-10-04,3,3,28,282,686.1,228.7,66
12413,Spain,2010-11-02,2010-11-02,1,1,12,31,185.35,185.35,402
12414,Austria,2010-09-02,2011-05-06,4,4,19,489,532.41,133.1,217
12415,Australia,2010-06-30,2011-11-15,24,14,496,91443,144033.37,6001.39,24
12416,Australia,2010-02-21,2010-02-21,1,1,11,132,202.56,202.56,656
12417,Belgium,2009-12-06,2011-12-06,18,15,238,2467,5472.05,304.0,3
12417,Spain,2010-10-01,2011-04-28,2,2,32,368,526.36,263.18,225
12418,Switzerland,2010-03-19,2011-08-19,4,4,90,1088,2021.2,505.3,112
12419,Spain,2010-10-22,2010-11-19,2,2,22,227,391.01,195.5,385
12420,Cyprus,2011-10-07,2011-10-07,1,1,29,345,600.39,600.39,63
12421,Spain,2010-07-22,2011-11-24,6,6,43,644,874.6,145.77,15
12422,Australia,2009-12-18,2011-09-05,6,6,44,1327,1749.65,291.61,95
12422,Switzerland,2010-05-20,2011-06-24,6,6,94,1252,1889.7,314.95,168
12423,Belgium,2010-11-17,2011-12-09,9,9,117,1692,2038.59,226.51,0
12423,Denmark,2010-08-31,2010-08-31,1,1,12,80,262.8,262.8,465
12424,Australia,2010-06-09,2011-06-30,4,3,78,2025,3340.03,835.01,162
12425,Portugal,2010-09-17,2011-09-22,2,2,87,1147,1741.41,870.7,78
12426,Germany,2010-02-15,2011-05-29,2,2,72,576,1201.21,600.6,194
12427,Germany,2010-12-03,2011-11-18,3,3,25,602,949.3,316.43,21
12428,Finland,2011-03-01,2011-11-14,8,5,256,3509,6405.26,800.66,25
12429,Austria,2011-04-26,2011-04-26,1,1,20,196,381.98,381.98,227
12429,Denmark,2010-06-11,2011-11-30,7,5,107,3121,6597.93,942.56,9
12430,Norway,2011-10-27,2011-10-27,1,1,10,116,216.4,216.4,43
12431,Australia,2010-03-04,2011-11-04,21,15,137,3426,8058.04,383.72,35
12431,Belgium,2010-01-15,2011-10-10,4,4,122,1259,2402.43,600.61,60
12432,Norway,2011-06-20,2011-10-28,4,2,106,1800,4359.32,1089.83,42
12433,Norway,2010-08-20,2011-12-09,10,8,285,17116,20581.26,2058.13,0
12434,Australia,2010-11-23,2011-09-16,3,3,62,532,1103.43,367.81,84
12435,Denmark,2009-12-02,2011-09-21,6,6,88,4958,13925.93,2320.99,79
12436,Norway,2011-09-01,2011-09-01,1,1,15,209,429.01,429.01,99
12437,France,2009-12-02,2011-12-08,38,20,272,7922,11282.4,296.91,1
12438,Norway,2011-07-22,2011-11-25,2,2,83,1169,2466.85,1233.42,14
12439,Cyprus,2009-12-14,2010-01-26,2,2,69,478,1142.88,571.44,682
12440,Austria,2009-12-22,2010-09-03,2,2,20,328,739.2,369.6,462
12441,France,2010-12-08,2010-12-08,1,1,10,240,311.1,311.1,366
12442,Spain,2011-12-06,2011-12-06,1,1,11,181,144.06,144.06,3
12443,Norway,2009-12-07,2009-12-07,1,1,20,179,365.31,365.31,732
12444,Norway,2011-06-21,2011-11-18,5,5,137,1130,4085.46,817.09,21
12445,Spain,2010-10-15,2011-11-17,2,2,23,204,378.98,189.49,22
12446,RSA,2011-10-13,2011-10-13,1,1,57,351,1002.31,1002.31,57
12447,Belgium,2011-04-10,2011-04-10,1,1,25,187,431.49,431.49,243
12448,Spain,2011-10-26,2011-10-26,1,1,21,240,365.45,365.45,44
12449,Belgium,2011-06-05,2011-11-17,4,4,117,1523,3596.29,899.07,22
12449,Denmark,2010-09-27,2010-09-27,1,1,9,724,678.6,678.6,438
12450,Spain,2010-08-22,2011-07-06,5,5,31,442,688.2,137.64,156
12451,Switzerland,2010-06-28,2011-11-29,8,6,351,9358,12629.88,1578.74,10
12452,Switzerland,2011-11-23,2011-11-23,1,1,20,181,348.57,348.57,16
12453,Austria,2011-07-28,2011-07-28,1,1,43,473,707.09,707.09,134
12454,Spain,2010-10-14,2011-10-14,4,3,23,7702,16459.78,4114.94,56
12455,Cyprus,2009-12-18,2011-02-16,5,5,155,2733,5066.99,1013.4,296
12455,Spain,2011-06-03,2011-09-27,4,4,43,562,655.96,163.99,73
12456,Switzerland,2011-03-30,2011-10-26,3,3,104,1618,2581.04,860.35,44
12457,Cyprus,2011-09-19,2011-10-04,2,2,1,66,392.7,196.35,66
12457,Switzerland,2010-09-30,2011-09-14,5,3,61,1017,2163.21,432.64,86
12458,Switzerland,2010-08-09,2011-09-29,4,4,70,979,1502.49,375.62,71
12459,Spain,2010-04-13,2010-04-13,1,1,22,256,398.36,398.36,605
12460,Belgium,2010-09-09,2010-09-09,1,1,17,168,296.65,296.65,456
12461,Switzerland,2011-07-08,2011-07-08,1,1,34,282,626.88,626.88,154
12462,Spain,2011-02-09,2011-11-21,2,2,50,527,937.59,468.8,18
12463,Belgium,2011-04-12,2011-10-17,4,4,64,768,1200.78,300.2,53
12464,Belgium,2011-02-03,2011-11-29,8,5,5,95,957.05,119.63,10
12465,Belgium,2011-06-23,2011-11-22,2,2,45,475,682.19,341.1,17
12467,USA,2010-10-12,2010-10-12,1,1,9,129,132.8,132.8,423
12468,Germany,2010-01-26,2011-06-05,5,5,126,2177,3238.74,647.75,187
12469,Thailand,2010-06-21,2010-07-05,2,2,76,2552,3070.54,1535.27,522
12470,Unspecified,2010-01-19,2010-01-19,1,1,23,95,211.95,211.95,689
12471,Germany,2009-12-07,2011-12-07,71,23,252,16612,35099.9,494.36,2
12472,Germany,2009-12-14,2011-11-07,19,16,396,11273,16494.59,868.14,32
12473,Germany,2011-06-01,2011-10-17,3,3,138,2394,2585.73,861.91,53
12474,Germany,2010-02-11,2011-11-22,29,17,368,7881,11310.75,390.03,17
12475,Germany,2010-10-26,2011-10-17,2,2,53,766,1065.64,532.82,53
12476,Germany,2010-07-26,2011-11-24,18,13,357,5533,12319.91,684.44,15
12477,Germany,2010-03-26,2011-11-17,9,8,295,6119,20276.37,2252.93,22
12478,Greece,2011-12-06,2011-12-06,1,1,35,233,545.99,545.99,3
12479,Germany,2011-11-28,2011-11-28,1,1,30,382,473.2,473.2,11
12480,Germany,2010-07-20,2011-11-11,7,7,176,2917,4834.85,690.69,28
12481,Germany,2010-04-11,2011-11-17,14,11,247,7194,11174.89,798.21,22
12482,Sweden,2010-02-24,2010-05-12,27,3,41,27040,21941.72,812.66,576
12483,Sweden,2010-01-31,2011-11-22,19,14,67,2131,4069.18,214.17,17
12484,Spain,2010-01-27,2011-11-04,9,8,328,3237,5557.1,617.46,35
12485,Sweden,2010-06-28,2010-06-28,1,1,34,414,708.1,708.1,529
12486,Sweden,2010-10-04,2010-10-04,1,1,48,520,917.28,917.28,431
12487,Sweden,2009-12-09,2009-12-09,1,1,2,174,285.3,285.3,730
12488,France,2011-09-25,2011-11-30,3,3,45,526,1244.66,414.89,9
12489,France,2011-01-07,2011-01-07,1,1,14,103,298.93,298.93,336
12490,France,2009-12-01,2011-12-04,20,17,194,5849,8764.64,438.23,5
12491,France,2011-11-01,2011-11-01,1,1,24,258,424.4,424.4,38
12492,Germany,2010-11-01,2011-10-07,3,3,37,438,607.21,202.4,63
12493,France,2011-05-26,2011-06-27,2,2,18,204,379.74,189.87,165
12494,France,2010-05-12,2011-11-24,9,8,82,973,1602.87,178.1,15
12495,Sweden,2010-03-09,2010-03-09,1,1,16,128,277.4,277.4,640
12496,Spain,2010-03-29,2010-03-29,2,1,10,30,45.34,22.67,620
12497,Germany,2010-03-05,2011-09-19,3,3,40,5671,5996.5,1998.83,81
12498,Germany,2011-10-13,2011-11-18,3,2,20,156,349.7,116.57,21
12499,Germany,2010-05-28,2010-05-28,1,1,26,300,357.72,357.72,560
12500,Germany,2010-02-04,2011-11-16,18,12,87,3355,5559.21,308.85,23
12501,Germany,2011-01-07,2011-01-07,1,1,148,1775,2025.39,2025.39,336
12502,Spain,2011-02-03,2011-09-05,5,5,101,794,2995.87,599.17,95
12503,Spain,2010-05-04,2010-05-04,1,1,1,560,896.0,896.0,584
12504,Germany,2010-04-22,2011-11-21,4,3,10,453,689.05,172.26,18
12505,Italy,2010-10-27,2010-10-27,1,1,41,318,787.2,787.2,408
12506,France,2011-04-21,2011-04-21,1,1,23,23,73.5,73.5,232
12507,Spain,2010-05-04,2011-07-28,4,3,45,1244,1508.06,377.02,134
12508,France,2011-11-10,2011-11-13,2,1,57,271,397.88,198.94,26
12509,France,2011-02-28,2011-02-28,1,1,6,54,158.5,158.5,284
12510,Spain,2009-12-04,2011-07-20,7,7,92,2021,3039.03,434.15,142
12511,Greece,2010-10-07,2010-10-07,1,1,190,1753,3084.02,3084.02,428
12512,Israel,2011-10-04,2011-10-04,2,1,31,96,132.18,66.09,66
12513,France,2011-08-19,2011-08-19,1,1,34,459,558.29,558.29,112
12514,Italy,2010-03-08,2011-03-17,2,2,76,840,1597.76,798.88,267
12515,Italy,2010-12-21,2010-12-21,1,1,15,128,278.7,278.7,353
12516,Germany,2010-04-19,2011-09-23,4,4,48,1932,2288.62,572.16,77
12517,Germany,2011-06-02,2011-11-11,4,4,231,1351,2301.6,575.4,28
12518,Germany,2011-08-21,2011-12-09,5,5,83,1306,1840.89,368.18,0
12519,Germany,2010-08-20,2011-10-07,2,2,33,382,626.54,313.27,63
12520,Germany,2011-03-11,2011-09-21,5,4,120,1423,2346.26,469.25,79
12521,Germany,2011-07-20,2011-07-20,1,1,37,306,545.68,545.68,142
12522,Germany,2011-10-19,2011-10-31,2,1,10,192,156.72,78.36,39
12523,France,2009-12-07,2011-11-20,23,18,175,2244,4010.35,174.36,19
12524,Germany,2010-02-08,2011-11-30,17,13,156,7104,9794.11,576.12,9
12525,France,2010-03-02,2010-07-29,3,3,55,504,883.73,294.58,498
12526,Germany,2011-09-06,2011-12-09,3,3,63,624,1172.66,390.89,0
12527,Germany,2010-06-28,2011-09-19,5,5,25,525,717.51,143.5,81
12528,Germany,2011-01-31,2011-11-30,6,6,49,740,1645.48,274.25,9
12529,France,2010-06-29,2010-06-29,1,1,21,192,316.48,316.48,528
12530,Germany,2010-03-07,2011-10-11,9,9,93,2692,3381.26,375.7,59
12531,Germany,2010-01-22,2011-11-25,2,2,125,1110,1771.2,885.6,14
12532,France,2011-11-09,2011-11-09,1,1,15,151,313.83,313.83,30
12533,Germany,2009-12-01,2010-03-22,2,2,62,696,1223.89,611.95,627
12534,Germany,2011-08-01,2011-08-01,1,1,62,645,981.18,981.18,130
12535,France,2011-06-06,2011-09-09,2,2,28,219,716.35,358.18,91
12536,France,2011-10-11,2011-10-11,1,1,259,2801,4279.71,4279.71,59
12537,Sweden,2010-10-27,2010-10-27,1,1,42,446,612.94,612.94,408
12538,Spain,2010-11-26,2011-11-10,2,2,33,336,640.45,320.23,29
12539,Spain,2009-12-23,2011-11-17,7,5,275,4534,11186.75,1598.11,22
12540,Spain,2009-12-07,2011-11-20,32,22,353,10911,19250.49,601.58,19
12541,Spain,2011-03-04,2011-11-10,3,3,45,675,841.18,280.39,29
12542,Spain,2010-03-09,2010-08-12,2,2,39,522,481.88,240.94,484
12543,Spain,2010-09-17,2010-09-17,1,1,42,683,840.25,840.25,448
12544,Spain,2011-11-03,2011-11-03,1,1,18,134,316.7,316.7,36
12545,Spain,2011-03-25,2011-09-25,2,2,41,517,832.39,416.2,75
12546,Spain,2011-09-23,2011-10-24,2,2,58,628,1021.5,510.75,46
12547,Spain,2010-07-27,2011-05-26,3,3,12,306,299.58,99.86,197
12548,Spain,2011-06-26,2011-06-26,1,1,4,48,67.2,67.2,166
12549,USA,2010-01-11,2010-05-13,5,2,37,1365,1570.68,314.14,575
12550,Spain,2011-09-21,2011-09-21,1,1,56,564,824.83,824.83,79
12551,Spain,2010-12-17,2010-12-17,1,1,10,100,168.0,168.0,357
12552,Italy,2011-10-31,2011-10-31,1,1,19,85,317.82,317.82,39
12553,France,2010-10-12,2011-12-01,12,11,108,2297,4104.75,342.06,8
12554,Spain,2010-09-17,2010-09-17,1,1,25,237,384.5,384.5,448
12556,Spain,2011-07-11,2011-10-20,2,2,100,355,599.56,299.78,50
12557,Spain,2009-12-17,2011-11-23,8,8,15,6782,18716.14,2339.52,16
12558,USA,2011-12-02,2011-12-02,1,1,11,196,269.96,269.96,7
12559,Germany,2011-01-24,2011-02-02,2,2,20,281,525.71,262.86,310
12560,Germany,2011-07-19,2011-12-04,2,2,90,1098,1918.01,959.0,5
12561,Germany,2011-02-10,2011-02-10,1,1,16,177,238.85,238.85,302
12562,France,2010-09-30,2011-12-01,9,9,112,2297,4426.92,491.88,8
12563,Italy,2010-10-27,2010-10-27,1,1,12,112,221.24,221.24,408
12564,France,2011-03-23,2011-03-23,1,1,20,130,402.9,402.9,261
12565,Saudi Arabia,2011-02-24,2011-02-24,1,1,9,80,145.92,145.92,288
12566,Germany,2011-09-14,2011-09-14,1,1,18,262,297.65,297.65,86
12567,France,2010-02-11,2011-11-17,15,12,364,6017,12467.86,831.19,22
12568,Germany,2010-03-05,2010-03-05,1,1,4,47,52.0,52.0,644
12569,Germany,2011-04-01,2011-12-07,32,9,91,1747,3152.69,98.52,2
12571,France,2011-08-10,2011-10-31,2,2,31,523,519.61,259.8,39
12572,Germany,2011-10-19,2011-12-01,2,2,52,446,912.42,456.21,8
12573,France,2010-08-31,2011-04-26,5,4,107,479,717.41,143.48,227
12574,France,2011-01-28,2011-01-28,1,1,10,59,182.45,182.45,315
12575,France,2010-07-01,2010-09-08,2,2,33,312,568.82,284.41,457
12576,Poland,2010-07-01,2011-11-04,8,8,113,1492,2062.72,257.84,35
12577,France,2009-12-03,2011-11-04,8,5,258,1190,1613.15,201.64,35
12578,Italy,2010-09-22,2011-11-18,4,4,148,2358,4026.45,1006.61,21
12579,France,2011-09-22,2011-09-22,1,1,28,282,386.42,386.42,78
12580,Germany,2010-05-12,2011-04-07,2,2,51,564,962.9,481.45,246
12581,Germany,2011-10-31,2011-10-31,1,1,14,160,179.71,179.71,39
12582,Finland,2010-05-11,2011-04-15,4,4,87,981,1820.4,455.1,238
12583,France,2009-12-06,2011-12-07,27,22,140,8920,13295.44,492.42,2
12584,Italy,2011-03-04,2011-12-06,9,8,43,413,2254.15,250.46,3
12585,Germany,2010-12-23,2011-04-19,2,2,76,1267,1824.1,912.05,234
12586,Italy,2009-12-16,2011-11-22,4,4,82,687,2062.67,515.67,17
12587,Finland,2011-12-02,2011-12-02,1,1,3,50,104.0,104.0,7
12588,Finland,2010-04-21,2011-10-31,3,3,30,432,718.78,239.59,39
12589,France,2010-01-19,2011-11-11,6,5,119,1741,3294.91,549.15,28
12590,Germany,2011-05-12,2011-05-12,1,1,67,4282,9341.26,9341.26,211
12591,Italy,2010-10-27,2011-01-26,3,3,62,645,1114.95,371.65,317
12592,Germany,2010-07-08,2011-09-08,4,3,40,1866,1723.64,430.91,92
12593,France,2011-05-05,2011-08-23,3,2,13,204,382.1,127.37,108
12594,Italy,2010-03-03,2011-11-02,14,14,77,2761,4890.11,349.29,37
12595,Germany,2010-07-23,2010-07-23,1,1,18,270,281.02,281.02,504
12596,Spain,2011-04-11,2011-10-19,2,2,24,468,450.27,225.14,51
12597,Spain,2011-03-16,2011-11-20,4,4,183,2214,3195.22,798.8,19
12598,France,2010-03-01,2011-11-30,10,7,129,2887,4192.09,419.21,9
12599,France,2010-05-11,2011-11-10,13,11,46,2174,2026.72,155.9,29
12600,Germany,2009-12-07,2011-11-11,20,17,51,1379,4444.35,222.22,28
12601,Germany,2010-10-31,2011-06-03,6,6,23,284,573.26,95.54,189
12602,France,2011-10-12,2011-10-12,1,1,12,162,153.12,153.12,58
12603,Germany,2011-11-18,2011-11-18,1,1,1,56,613.2,613.2,21
12604,France,2011-03-23,2011-09-21,2,2,14,200,236.18,118.09,79
12605,Germany,2010-09-07,2010-11-28,3,3,62,921,1124.95,374.98,376
12607,USA,2011-10-10,2011-10-10,1,1,101,1228,1579.51,1579.51,60
12608,United Kingdom,2010-10-31,2010-10-31,1,1,16,323,415.79,415.79,404
12609,Germany,2009-12-20,2011-09-22,9,9,128,1530,3021.86,335.76,78
12610,Italy,2011-08-05,2011-11-17,4,3,84,1039,1747.54,436.88,22
12611,Italy,2011-10-18,2011-10-18,1,1,65,846,1193.32,1193.32,52
12612,Germany,2011-09-26,2011-09-26,1,1,18,260,668.04,668.04,74
12613,Germany,2009-12-14,2011-10-13,9,8,217,4127,6277.37,697.49,57
12614,Germany,2011-03-07,2011-03-07,1,1,20,76,315.6,315.6,277
12615,France,2010-03-18,2011-12-07,8,7,197,3296,5362.98,670.37,2
12616,France,2010-11-16,2011-09-05,3,3,31,492,1023.1,341.03,95
12617,France,2011-11-10,2011-11-10,1,1,39,210,352.98,352.98,29
12618,Italy,2011-11-18,2011-11-18,1,1,10,95,137.31,137.31,21
12619,Germany,2010-05-28,2011-11-23,9,7,53,3500,3085.7,342.86,16
12620,France,2011-05-19,2011-11-25,3,3,88,1179,1303.41,434.47,14
12621,Germany,2010-02-09,2011-12-08,35,21,343,13808,22525.81,643.59,1
12622,Germany,2011-04-21,2011-04-21,1,1,10,68,162.1,162.1,232
12623,Germany,2010-01-12,2011-03-08,7,7,111,1947,3315.84,473.69,276
12624,France,2011-06-15,2011-08-25,2,2,35,351,569.13,284.56,106
12625,Germany,2010-04-22,2011-05-12,4,4,143,3282,4678.88,1169.72,211
12626,Germany,2011-01-17,2011-11-16,9,6,231,3416,5954.48,661.61,23
12627,Germany,2011-07-22,2011-11-29,6,5,161,2730,4082.53,680.42,10
12628,Germany,2011-10-06,2011-12-05,3,3,33,445,732.46,244.15,4
12629,Sweden,2010-10-12,2010-11-19,2,2,39,713,1198.22,599.11,385
12630,Finland,2011-10-27,2011-11-30,2,2,59,542,1030.88,515.44,9
12631,Finland,2010-01-15,2011-10-13,6,5,130,1603,3321.57,553.6,57
12632,Germany,2010-05-24,2010-07-07,2,2,31,689,714.88,357.44,520
12633,Germany,2010-07-02,2011-10-12,7,7,219,3209,5156.16,736.59,58
12634,USA,2010-06-09,2010-06-09,1,1,19,336,360.0,360.0,548
12635,Germany,2010-09-09,2011-09-11,4,4,158,1932,2624.41,656.1,89
12637,France,2010-06-14,2011-10-03,12,9,294,4246,8085.81,673.82,67
12638,Sweden,2010-03-10,2011-11-06,2,2,46,657,681.49,340.74,33
12639,Sweden,2010-03-22,2011-04-15,3,3,57,625,1072.37,357.46,238
12640,France,2011-09-19,2011-11-16,3,2,46,301,994.58,331.53,23
12641,Sweden,2011-08-16,2011-08-16,1,1,9,71,145.9,145.9,115
12642,Germany,2011-08-24,2011-11-14,3,3,38,546,905.26,301.75,25
12643,France,2010-04-07,2011-08-03,11,9,13,4642,7803.82,709.44,128
12644,Germany,2010-01-14,2011-08-02,4,4,105,1031,1900.49,475.12,129
12645,Germany,2010-02-09,2011-11-06,8,8,110,2107,3215.3,401.91,33
12646,USA,2011-10-21,2011-12-05,2,2,43,897,1346.97,673.48,4
12647,Germany,2010-01-13,2011-11-17,35,19,239,6726,14916.35,426.18,22
12648,Germany,2010-01-07,2011-07-08,4,4,37,513,1039.0,259.75,154
12649,Germany,2010-01-12,2011-08-24,8,6,93,1948,2096.65,262.08,107
12650,France,2011-12-06,2011-12-06,1,1,19,250,242.44,242.44,3
12651,France,2010-08-31,2011-01-09,4,4,30,265,377.75,94.44,334
12652,France,2011-01-12,2011-01-12,1,1,47,498,793.98,793.98,331
12652,Germany,2010-10-01,2010-10-01,1,1,3,31,97.05,97.05,434
12653,Israel,2010-07-01,2011-07-14,3,3,76,1681,4160.83,1386.94,148
12654,Germany,2011-02-17,2011-11-29,5,3,30,260,529.98,106.0,10
12655,France,2010-10-12,2010-10-12,1,1,15,79,243.35,243.35,423
12656,France,2010-05-26,2011-11-22,8,8,173,2822,5723.83,715.48,17
12657,France,2011-09-22,2011-11-28,4,3,34,1032,1427.18,356.8,11
12658,Germany,2011-11-21,2011-11-21,1,1,35,317,632.05,632.05,18
12659,France,2011-11-10,2011-11-10,1,1,4,104,73.68,73.68,29
12660,France,2011-11-28,2011-11-28,1,1,12,126,227.1,227.1,11
12661,Sweden,2010-09-29,2010-09-29,1,1,11,216,162.0,162.0,436
12662,Germany,2010-04-01,2011-12-09,20,17,162,3545,6374.02,318.7,0
12663,Germany,2010-02-09,2010-03-25,2,2,8,178,185.4,92.7,624
12664,Finland,2009-12-13,2011-12-01,11,9,9,1476,5420.04,492.73,8
12665,Germany,2010-02-08,2011-01-19,3,3,12,162,259.6,86.53,324
12666,Israel,2010-11-10,2010-11-10,1,1,31,370,1248.42,1248.42,394
12667,Finland,2011-10-12,2011-10-12,1,1,32,391,460.13,460.13,58
12668,Germany,2010-01-31,2011-11-28,9,9,262,4974,9906.03,1100.67,11
12669,France,2011-03-28,2011-07-12,2,2,96,1104,1427.73,713.86,150
12670,France,2010-02-11,2011-11-29,7,6,70,1609,3436.29,490.9,10
12671,Germany,2010-04-12,2010-04-12,1,1,44,1459,2622.48,2622.48,606
12672,France,2010-04-23,2011-01-14,2,2,21,136,407.05,203.52,329
12673,Germany,2010-11-03,2011-12-04,3,3,67,695,1140.02,380.01,5
12674,France,2011-05-16,2011-11-01,4,4,51,1126,1844.6,461.15,38
12675,Italy,2010-05-10,2010-06-04,2,2,110,333,873.25,436.62,553
12676,Sweden,2010-08-13,2011-11-15,10,8,66,1854,2333.09,233.31,24
12677,France,2010-02-11,2010-06-02,2,2,12,174,359.1,179.55,555
12678,France,2010-01-07,2011-10-28,15,14,197,22346,32595.18,2173.01,42
12679,France,2011-03-01,2011-10-12,4,4,42,545,951.02,237.76,58
12680,France,2011-08-18,2011-12-09,4,3,32,439,790.81,197.7,0
12681,France,2009-12-13,2011-11-25,44,21,458,17429,27898.28,634.05,14
12682,France,2009-12-01,2011-12-06,51,25,326,10868,21685.51,425.21,3
12683,France,2009-12-13,2011-12-05,20,13,235,7606,11400.78,570.04,4
12684,France,2011-05-10,2011-12-02,6,5,59,1973,2073.63,345.6,7
12685,France,2011-09-07,2011-11-11,6,3,116,1507,2575.08,429.18,28
12686,France,2010-12-03,2010-12-03,1,1,6,212,142.28,142.28,371
